gisjoin,white,black,AAPI,Hisp,id
G24000504024041,119,1372,25,16,24000504024041
G24000504024042,14,1736,0,73,24000504024042
G24000504024043,183,1479,12,159,24000504024043
G24000504024051,171,684,0,32,24000504024051
G24000504024052,245,1962,22,309,24000504024052
G24000504024061,13,964,0,0,24000504024061
G24000504024062,108,1548,55,27,24000504024062
G24000504024063,253,2668,236,378,24000504024063
G24000504024071,36,685,59,55,24000504024071
G24000504024072,172,284,119,0,24000504024072
G24000504025031,216,1658,10,0,24000504025031
G24000504025032,228,1192,16,18,24000504025032
G24000504025033,65,1406,0,0,24000504025033
G24000504025041,112,2388,24,60,24000504025041
G24000504025042,430,1218,15,25,24000504025042
G24000504025051,3,924,0,1,24000504025051
G24000504025052,309,2323,92,0,24000504025052
G24000504025061,366,1783,15,55,24000504025061
G24000504025062,222,1886,15,39,24000504025062
G24000504025091,284,2552,344,19,24000504025091
G24000504025092,1424,2144,152,45,24000504025092
G24000504025093,811,767,409,83,24000504025093
G24000504026021,170,679,4,50,24000504026021
G24000504026022,170,1133,0,26,24000504026022
G24000504026031,126,2674,108,190,24000504026031
G24000504026032,321,1872,0,31,24000504026032
G24000504026033,513,968,32,0,24000504026033
G24000504026041,232,1634,43,51,24000504026041
G24000504026042,343,2607,0,134,24000504026042
G24000504026043,124,934,0,0,24000504026043
G24000504031001,349,748,0,4,24000504031001
G24000504031002,304,841,9,29,24000504031002
G24000504032011,164,2100,21,109,24000504032011
G24000504032012,108,605,0,0,24000504032012
G24000504032021,167,1653,22,40,24000504032021
G24000504033001,417,204,40,44,24000504033001
G24000504033002,553,876,76,104,24000504033002
G24000504034011,1163,820,14,101,24000504034011
G24000504034012,690,394,125,22,24000504034012
G24000504034021,902,358,0,680,24000504034021
G24000504034022,478,558,0,24,24000504034022
G24000504034023,239,518,0,107,24000504034023
G24000504034024,354,1090,0,46,24000504034024
G24000504035001,1520,19,54,17,24000504035001
G24000504035002,1796,152,273,43,24000504035002
G24000504035003,1101,46,24,0,24000504035003
G24000504036011,992,0,0,12,24000504036011
G24000504036012,1281,0,0,0,24000504036012
G24000504036013,2071,212,70,19,24000504036013
G24000504036021,1312,581,356,193,24000504036021
G24000504036022,2898,238,203,0,24000504036022
G24000504037011,1642,356,11,0,24000504037011
G24000504037012,614,0,71,13,24000504037012
G24000504037013,358,476,246,185,24000504037013
G24000504037014,1195,63,0,50,24000504037014
G24000504037015,1341,418,124,89,24000504037015
G24000504037021,1672,505,68,61,24000504037021
G24000504037022,1206,917,28,286,24000504037022
G24000504038011,1503,13,150,27,24000504038011
G24000504038021,1421,129,7,14,24000504038021
G24000504038022,1298,26,13,0,24000504038022
G24000504038031,1975,103,77,0,24000504038031
G24000504038032,989,0,59,11,24000504038032
G24000504041011,1103,175,0,0,24000504041011
G24000504041012,1474,1812,361,81,24000504041012
G24000504041021,1236,1536,128,143,24000504041021
G24000504041022,1019,720,288,293,24000504041022
G24000504042011,905,1750,148,424,24000504042011
G24000504042012,575,579,52,0,24000504042012
G24000504042013,831,501,665,70,24000504042013
G24000504042021,726,1319,36,387,24000504042021
G24000504042022,376,802,127,215,24000504042022
G24000504042023,1121,1778,58,269,24000504042023
G24000504042024,242,661,348,624,24000504042024
G24000504044021,1107,36,44,13,24000504044021
G24000504044022,1401,684,221,134,24000504044022
G24000504044023,2006,283,58,127,24000504044023
G24000504044031,686,465,96,200,24000504044031
G24000504044032,1597,1610,255,94,24000504044032
G24000504044041,1114,524,269,148,24000504044041
G24000504044042,1777,505,67,119,24000504044042
G24000504045011,1501,496,19,159,24000504045011
G24000504045012,730,123,15,201,24000504045012
G24000504045013,628,68,0,68,24000504045013
G24000504045014,1159,1163,135,226,24000504045014
G24000504045021,836,495,97,234,24000504045021
G24000504045022,433,49,64,72,24000504045022
G24000504045023,520,657,0,544,24000504045023
G24000504046001,1856,9,35,61,24000504046001
G24000504046002,710,7,7,0,24000504046002
G24000504048001,961,29,37,35,24000504048001
G24000504048002,686,152,0,34,24000504048002
G24000504049001,1794,159,84,17,24000504049001
G24000504049002,1157,0,57,83,24000504049002
G24000504049003,743,24,154,0,24000504049003
G24000504050001,2570,0,0,88,24000504050001
G24000504050002,1737,105,80,11,24000504050002
G24000504060001,1423,15,26,0,24000504060001
G24000504060002,819,2,0,72,24000504060002
G24000504060003,1445,0,43,34,24000504060003
G24000504060004,1624,65,14,11,24000504060004
G24000504070011,1426,26,15,25,24000504070011
G24000504070012,1308,60,107,28,24000504070012
G24000504070021,1971,16,180,30,24000504070021
G24000504070022,1950,18,32,70,24000504070022
G24000504070023,1477,19,10,12,24000504070023
G24000504081001,1127,0,17,0,24000504081001
G24000504081002,586,38,70,0,24000504081002
G24000504081003,1751,32,0,162,24000504081003
G24000504081004,1586,102,292,14,24000504081004
G24000504082001,788,16,34,33,24000504082001
G24000504082002,843,39,22,28,24000504082002
G24000504083021,724,0,141,0,24000504083021
G24000504083022,1533,0,567,44,24000504083022
G24000504083031,1891,115,95,44,24000504083031
G24000504083032,1129,10,67,15,24000504083032
G24000504083041,2494,29,361,76,24000504083041
G24000504083042,722,120,168,0,24000504083042
G24000504083043,920,0,40,56,24000504083043
G24000504084001,669,13,51,18,24000504084001
G24000504085021,2575,83,148,34,24000504085021
G24000504085022,1108,0,55,20,24000504085022
G24000504085023,1050,0,82,108,24000504085023
G24000504085031,1168,261,231,123,24000504085031
G24000504085032,648,402,182,142,24000504085032
G24000504085051,1698,52,264,20,24000504085051
G24000504085052,1295,145,208,185,24000504085052
G24000504085061,974,456,230,644,24000504085061
G24000504085062,1058,843,132,99,24000504085062
G24000504085071,781,337,783,104,24000504085071
G24000504085072,996,602,114,517,24000504085072
G24000504085073,1000,273,763,10,24000504085073
G24000504086011,1271,0,50,0,24000504086011
G24000504086012,727,24,29,28,24000504086012
G24000504086013,726,0,178,0,24000504086013
G24000504086014,765,37,123,29,24000504086014
G24000504086021,783,5,224,124,24000504086021
G24000504086022,840,15,92,15,24000504086022
G24000504087021,1226,61,110,6,24000504087021
G24000504087022,916,8,22,37,24000504087022
G24000504087031,1133,0,87,0,24000504087031
G24000504087032,1710,249,22,58,24000504087032
G24000504087033,780,11,98,0,24000504087033
G24000504087034,1539,45,211,25,24000504087034
G24000504087041,1638,0,578,26,24000504087041
G24000504087042,1769,23,376,48,24000504087042
G24000504087043,885,0,199,82,24000504087043
G24000504088001,881,124,134,55,24000504088001
G24000504088002,1013,0,82,0,24000504088002
G24000504089001,1109,218,69,27,24000504089001
G24000504089002,1118,58,76,9,24000504089002
G24000504101001,730,0,0,0,24000504101001
G24000504101002,631,0,48,14,24000504101002
G24000504101003,1879,81,0,40,24000504101003
G24000504101004,1723,14,77,26,24000504101004
G24000504102001,1648,8,49,0,24000504102001
G24000504102002,1501,0,147,11,24000504102002
G24000504102003,1311,0,42,32,24000504102003
G24000504111011,2165,36,21,23,24000504111011
G24000504111021,846,0,0,0,24000504111021
G24000504111022,537,26,0,9,24000504111022
G24000504111023,1436,0,8,63,24000504111023
G24000504112011,1092,0,0,30,24000504112011
G24000504112012,680,0,5,0,24000504112012
G24000504112013,583,0,0,0,24000504112013
G24000504112014,744,31,8,17,24000504112014
G24000504112021,1362,0,39,7,24000504112021
G24000504112022,1032,54,59,31,24000504112022
G24000504112023,783,86,10,0,24000504112023
G24000504113021,2483,369,493,140,24000504113021
G24000504113031,740,506,307,193,24000504113031
G24000504113032,1248,36,94,0,24000504113032
G24000504113033,1239,215,144,21,24000504113033
G24000504113034,867,0,0,45,24000504113034
G24000504113061,813,74,556,0,24000504113061
G24000504113062,1852,363,262,57,24000504113062
G24000504113063,1176,431,44,0,24000504113063
G24000504113071,1222,380,284,127,24000504113071
G24000504113072,1197,107,400,10,24000504113072
G24000504113081,876,177,95,0,24000504113081
G24000504113082,412,50,49,15,24000504113082
G24000504113083,1431,44,110,24,24000504113083
G24000504113091,1597,0,0,33,24000504113091
G24000504113092,2852,219,481,41,24000504113092
G24000504113093,1714,536,849,110,24000504113093
G24000504114041,2078,195,317,71,24000504114041
G24000504114042,926,6,11,0,24000504114042
G24000504114061,1540,46,11,0,24000504114061
G24000504114062,1355,38,19,49,24000504114062
G24000504114063,908,105,105,48,24000504114063
G24000504114071,865,243,174,0,24000504114071
G24000504114072,3256,31,97,222,24000504114072
G24000504114073,1175,410,81,20,24000504114073
G24000504114074,1648,1092,311,0,24000504114074
G24000504114075,792,238,107,0,24000504114075
G24000504114081,477,29,112,56,24000504114081
G24000504114082,982,334,275,258,24000504114082
G24000504114083,593,20,40,17,24000504114083
G24000504114091,947,104,191,0,24000504114091
G24000504114092,1591,194,32,11,24000504114092
